area_type,availability,location,society,total_sqft,bath,balcony,price,Month_of_Availability
Plot  Area,Ready To Move,Sarjapur,In society,2250.0,3,2,149.0,0
Super built-up  Area,Not Ready To Move, Thanisandra,In society,510.0,1,0,27.625,11
Super built-up  Area,Not Ready To Move,Mangammanapalya,Not in society,1250.0,3,2,56.0,5
Super built-up  Area,Ready To Move,Electronic City,In society,660.0,1,1,23.1,0
Built-up  Area,Not Ready To Move,Whitefield,Not in society,1610.0,3,2,81.0,12
Super built-up  Area,Not Ready To Move,Ramagondanahalli,In society,1151.0,2,2,48.77,10
Super built-up  Area,Ready To Move,Electronic City,In society,1025.0,2,1,47.0,0
Super built-up  Area,Not Ready To Move,Yelahanka,In society,2475.0,4,0,186.0,12
Super built-up  Area,Ready To Move,Bisuvanahalli,In society,1075.0,2,1,35.0,0
Super built-up  Area,Ready To Move,Hebbal,In society,1760.0,2,2,123.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,In society,1693.0,3,3,57.39,0
Built-up  Area,Ready To Move,Kasturi Nagar,In society,1925.0,3,2,125.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,700.0,2,1,36.0,12
Super built-up  Area,Ready To Move,Electronics City Phase 1,Not in society,1070.0,2,1,45.5,0
Super built-up  Area,Ready To Move,Kundalahalli,In society,1724.0,3,2,125.0,0
Super built-up  Area,Ready To Move,Chikkalasandra,Not in society,1290.0,2,2,56.12,0
Built-up  Area,Ready To Move,Uttarahalli,Not in society,1143.0,2,2,45.0,0
Built-up  Area,Ready To Move,Murugeshpalya,In society,1296.0,2,2,81.0,0
Super built-up  Area,Not Ready To Move,Sarjapur  Road,In society,1254.0,3,2,38.0,12
Super built-up  Area,Ready To Move,Ganga Nagar,In society,600.0,1,0,38.0,0
Plot  Area,Ready To Move,Yelahanka,Not in society,660.0,1,0,48.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,702.0,2,2,91.79,9
Plot  Area,Ready To Move,HSR Layout,Not in society,600.0,9,2,200.0,0
Super built-up  Area,Ready To Move,Doddathoguru,In society,970.0,2,0,33.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1459.0,2,1,94.82,9
Plot  Area,Ready To Move,KR Puram,Not in society,800.0,1,1,130.0,0
Built-up  Area,Ready To Move,Himagiri Meadows,Not in society,869.0,2,1,36.0,0
Super built-up  Area,Ready To Move,Adarsh Nagar,In society,1270.0,2,1,50.0,0
Super built-up  Area,Not Ready To Move,Bhoganhalli,In society,1670.0,3,1,99.0,3
Built-up  Area,Ready To Move,Whitefield,In society,2010.0,3,2,91.0,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,In society,1185.0,2,2,75.0,0
Super built-up  Area,Ready To Move,Yelahanka,In society,1600.0,2,3,75.0,0
Super built-up  Area,Ready To Move,Begur Road,In society,1200.0,2,2,44.0,0
Built-up  Area,Not Ready To Move,Devanahalli,In society,3210.0,2,2,192.0,2
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,In society,1500.0,2,2,185.0,0
Plot  Area,Ready To Move,Murugeshpalya,Not in society,1407.0,4,1,150.0,0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,Not in society,840.0,2,2,45.0,0
Plot  Area,Ready To Move,Tharabanahalli,Not in society,4395.0,3,2,240.0,0
Super built-up  Area,Ready To Move,Ganga Nagar,In society,845.0,2,1,55.0,0
Plot  Area,Ready To Move,Whitefield,In society,5700.0,5,3,650.0,0
Built-up  Area,Ready To Move,Varthur,In society,1160.0,2,2,44.0,0
Built-up  Area,Ready To Move,Bommanahalli,Not in society,3000.0,8,0,140.0,0
Super built-up  Area,Ready To Move,Doddathoguru,Not in society,1100.0,2,1,62.0,0
